form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00625566,SB21B.13579,,,ORG,Kindful,,,,,,12 Cadillac Dr Ste 480,,Brentwood,TN,37027,,,2023-06-30,331.70,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13446,,,ORG,Lyft,,,,,,185 BERRY STREET,,San Francisco,CA,94107,,,2023-06-26,43.24,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13447,,,ORG,Lyft,,,,,,185 BERRY STREET,,San Francisco,CA,94107,,,2023-06-26,35.64,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13448,,,ORG,Lyft,,,,,,185 BERRY STREET,,San Francisco,CA,94107,,,2023-06-29,39.67,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13450,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-02-06,437.06,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13451,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-02-09,77.29,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13452,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-02-21,437.06,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13453,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-03-09,77.29,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13454,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-03-23,437.06,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13455,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-04-10,77.29,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13456,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-04-21,437.06,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13457,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-05-12,77.29,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13458,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-05-22,437.06,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13459,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-06-12,77.29,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13460,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2023-06-26,437.06,,Email Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13466,,,ORG,Priceline,,,,,,800 Connecticut Ave,,Norwalk,CT,06854,,,2023-04-11,198.30,,Staff Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13467,,,ORG,Priceline,,,,,,800 Connecticut Ave,,Norwalk,CT,06854,,,2023-06-28,190.98,,Staff Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13468,,,ORG,Priceline,,,,,,800 Connecticut Ave,,Norwalk,CT,06854,,,2023-06-29,174.96,,Staff Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13586,,,ORG,Regus,,,,,,15305 North Dallas Pkwy,,Addison,TX,75001,,,2023-02-28,706.36,,Office Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13587,,,ORG,Regus,,,,,,15305 North Dallas Pkwy,,Addison,TX,75001,,,2023-03-31,706.36,,Office Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13588,,,ORG,Regus,,,,,,15305 North Dallas Pkwy,,Addison,TX,75001,,,2023-04-30,763.13,,Office Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13589,,,ORG,Regus,,,,,,15305 North Dallas Pkwy,,Addison,TX,75001,,,2023-05-31,723.55,,Office Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13590,,,ORG,Regus,,,,,,15305 North Dallas Pkwy,,Addison,TX,75001,,,2023-06-30,763.13,,Office Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13367,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2023-01-03,4642.51,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13368,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2023-01-03,180.00,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13369,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2023-01-03,177.49,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13370,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2023-03-01,205.01,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13371,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2023-03-01,607.50,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13372,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2023-03-01,3877.50,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13373,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2023-03-01,309.99,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13374,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2023-05-30,3161.51,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13375,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2023-05-30,1280.03,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13376,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2023-05-30,558.46,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13469,,,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,75235,,,2023-04-17,259.98,,Staff Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13474,,,ORG,Starbucks,,,,,,2401 Utah Ave S S-CR1,,Seattle,WA,98134,,,2023-03-06,25.00,,F&B for Staff Meeting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13475,,,ORG,Starbucks,,,,,,2401 Utah Ave S S-CR1,,Seattle,WA,98134,,,2023-04-21,100.00,,F&B for Staff Meeting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13476,,,ORG,Starbucks,,,,,,2401 Utah Ave S S-CR1,,Seattle,WA,98134,,,2023-06-26,30.00,,F&B for Staff Meeting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13486,,,ORG,Turo,,,,,,116 New Montgomery St Ste 700,,San Francisco,CA,94105,,,2023-04-05,311.82,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13487,,,ORG,Turo,,,,,,116 New Montgomery St Ste 700,,San Francisco,CA,94105,,,2023-04-11,192.36,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13488,,,ORG,Turo,,,,,,116 New Montgomery St Ste 700,,San Francisco,CA,94105,,,2023-04-11,110.44,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13489,,,ORG,Turo,,,,,,116 New Montgomery St Ste 700,,San Francisco,CA,94105,,,2023-04-21,1.07,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13490,,,ORG,Turo,,,,,,116 New Montgomery St Ste 700,,San Francisco,CA,94105,,,2023-06-26,173.60,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13491,,,ORG,Turo,,,,,,116 New Montgomery St Ste 700,,San Francisco,CA,94105,,,2023-06-28,79.21,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13492,,,ORG,Turo,,,,,,116 New Montgomery St Ste 700,,San Francisco,CA,94105,,,2023-06-28,145.18,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13493,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60606,,,2023-02-07,362.20,,Staff Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13494,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-01-17,400.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13496,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-09,400.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13497,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-09,10.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13498,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-09,400.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13500,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-09,50.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13501,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-15,400.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13502,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-15,400.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13503,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-21,400.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13504,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-22,200.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13505,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-24,200.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13506,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-27,25.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13507,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-27,10.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13508,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-02-27,156.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13509,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-03-03,100.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13510,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-03-06,70.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13511,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-03-24,400.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13512,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-03-30,400.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13513,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-05-16,200.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13514,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-05-19,200.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13515,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-05-24,300.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13516,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2023-06-06,400.00,,Shipping and Postage,,,,,,,,,,,,,,,,,,,,
