form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00530766,SB21B.48087,,,ORG,Headway Workforce Solutions Inc.,,,,,,3100 Smoketree Ct.,Suite 900,Raleigh,NC,27604,,,2023-01-01,2248.03,,Field and State Director Pay,001,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48099,,,ORG,i360,,,,,,P.O. Box 37046,,Baltimore,MD,212973046,,,2022-12-03,4000.00,,Data Subscription,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48121,,,ORG,LIFE STORAGE,,,,,,5207 MONTGOMERY ST,,SAVANNAH,GA,31405,,,2022-12-05,175.00,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48126,,,ORG,Marriott St. Louis,,,,,,800 WASHINGTON AVE,,'ST LOUIS',MO,63101,,,2023-01-01,1234.49,,Travel - Lodging,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48024,,,ORG,Matthew Overby,,,,,,2776 S Arlington Mill,No 803,Arlington,VA,22206,,,2023-01-05,65.03,,Mileage,002,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48025,,,ORG,Matthew Overby,,,,,,2776 S Arlington Mill,No 803,Arlington,VA,22206,,,2023-01-05,18.73,,Food/Beverage,002,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48026,,,ORG,Matthew Overby,,,,,,2776 S Arlington Mill,No 803,Arlington,VA,22206,,,2023-01-05,58.80,,Mileage,002,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48135,,,ORG,Office Max,,,,,,12140 West Burleigh St,,Milwaukee,WI,53226,,,2022-12-31,137.15,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48125,,,ORG,PETRO ROCHELLE,,,,,,900 PETRO RD,,'ROCHELLE',IL,61068,,,2023-01-01,46.93,,Travel,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48122,,,ORG,PRIME STORAGE,,,,,,7469 SOUTH AVE,,7469 SOUTH AVE,OH,44512,,,2022-12-05,200.81,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48123,,,ORG,PRIME STORAGE,,,,,,7469 SOUTH AVE,,7469 SOUTH AVE,OH,44512,,,2022-12-29,1189.86,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48127,,,ORG,RENAISSANCE MILWAUKEE,,,,,,2600 NORTH MAYFAIR RD,,WAUWATOSA,WI,53226,,,2023-01-01,229.85,,Travel - Lodging,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48027,,,ORG,Salvatore's Cucina,,,,,,1150 Bristol Oxford Valley,,Levittown,PA,19057,,,2023-01-05,117.05,,Food/Beverage,002,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48098,,,ORG,SAL Y LIMON MEXICAN,,,,,,1221 STRASSNER DR,,SAINT LOUIS,MO,63144,,,2023-01-01,37.25,,Food/Beverage,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48124,,,ORG,STORAGE DEPOT,,,,,,350 SOUTH 7TH ST,,LEMOYNE,PA,17043,,,2022-12-05,178.40,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48102,,,ORG,Target,,,,,,25 BRENTWOOD PROMENADE,,SAINT LOUIS,MO,63144,,,2023-01-01,236.35,,Office Supplies,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48133,,,ORG,THE UPS STORE,,,,,,12417 OCEAN GTWY,,'OCEAN CITY',MD,21842,,,2022-12-13,42.54,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48130,,,ORG,Thrifty Car Rental,,,,,,1534 Sunset Blvd,,Steubenville,OH,43952,,,2022-12-08,10.20,,Travel - Rental Cars,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48131,,,ORG,Thrifty Car Rental,,,,,,1534 Sunset Blvd,,Steubenville,OH,43952,,,2022-12-08,10.20,,Travel - Rental Cars,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48132,,,ORG,Thrifty Car Rental,,,,,,1534 Sunset Blvd,,Steubenville,OH,43952,,,2022-12-08,12.80,,Travel - Rental Cars,001,,,,,,,,,,,,,,,,,,X,
