form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00405878,SB21B.31101,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2024-09-30,29.90,,email hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31082,,,ORG,Specialty Mailings,,,,,,2801 Clark st,,St. Louis,MO,631032505,,,2024-08-23,88.40,,mailing list processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31054,,,ORG,Spectrum (formerlyTime Warner Cable),,,,,,2505 Atlantic Ave. Ste. 101,,Raleigh,NC,27604,,,2024-07-22,124.98,,internet service,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31078,,,ORG,Spectrum (formerlyTime Warner Cable),,,,,,2505 Atlantic Ave. Ste. 101,,Raleigh,NC,27604,,,2024-08-21,130.98,,internet service,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31097,,,ORG,Spectrum (formerlyTime Warner Cable),,,,,,2505 Atlantic Ave. Ste. 101,,Raleigh,NC,27604,,,2024-09-23,130.98,,internet service,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31069,,,ORG,Staples Inc.,,,,,,500 Staples Dr,,Framingham,MA,01702,,,2024-08-13,173.68,,office supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31051,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2024-07-15,16.00,,online advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31071,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2024-08-14,16.00,,online advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31094,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2024-09-16,16.00,,online advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31070,,,ORG,US Postal Service,,,,,,4325 Glenwood Ave.,,Raleigh,NC,27612,,,2024-08-13,584.00,,postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31073,,,ORG,US Postal Service,,,,,,4325 Glenwood Ave.,,Raleigh,NC,27612,,,2024-08-16,400.00,,mailbox rental fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31061,,,ORG,VBmods,,,,,,24246 Arroyo Spring Dr,,Valencia,CA,91354,,,2024-08-02,200.00,,website repairs,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31049,,,ORG,Vonage,,,,,,23 Main St,,Holmdel,NJ,07733,,,2024-07-08,25.10,,phone service,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31066,,,ORG,Vonage,,,,,,23 Main St,,Holmdel,NJ,07733,,,2024-08-07,25.10,,phone service,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31092,,,ORG,Vonage,,,,,,23 Main St,,Holmdel,NJ,07733,,,2024-09-09,25.10,,phone service,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31057,,,ORG,Weebly,,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2024-07-29,29.00,,website hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31083,,,ORG,Weebly,,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2024-08-28,29.00,,website hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31100,,,ORG,Weebly,,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2024-09-30,29.00,,website hosting,,,,,,,,,,,,,,,,,,,,
