form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00846683,SB29.4630,,,ORG,Tennessee Federation for Children PAC,,,,,,10440 Little Patuxent Pkwy Ste. 30,,Columbia,MD,21044,,,2024-10-16,12000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4632,,,ORG,Texas Senate Leadership Fund,,,,,,1 E Greenway Plaza Ste 225,,Houston,TX,77046,,,2024-10-21,50000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4648,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-10-04,15926.40,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4649,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-10-21,18471.90,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4652,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-10-21,6775.50,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4653,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-10-21,9808.80,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4650,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-11-01,34913.80,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4651,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-11-18,35398.72,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4634,,,ORG,The Wonderdog PAC,,,,,,PO Box 52,,Jefferson City,MO,65102,,,2024-10-03,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4656,,,ORG,Thomas Graphics Inc.,,,,,,PO Box 14226,,Austin,TX,78714,,,2024-10-07,90820.04,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4657,,,ORG,Thomas Graphics Inc.,,,,,,PO Box 14226,,Austin,TX,78714,,,2024-10-21,69434.75,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4654,,,ORG,Thomas Graphics Inc.,,,,,,PO Box 14226,,Austin,TX,78714,,,2024-10-22,66028.66,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4655,,,ORG,Thomas Graphics Inc.,,,,,,PO Box 14226,,Austin,TX,78714,,,2024-10-25,57472.21,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4670,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-04,4821.72,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4658,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-16,11308.00,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4659,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-21,10574.26,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4666,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-21,14630.43,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4660,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-27,614.16,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4661,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-27,1112.74,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4662,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-27,14782.69,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4667,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-27,1049.84,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4668,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-27,18259.83,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4663,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-31,15063.32,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4664,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-31,34603.38,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4671,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-10-31,5792.69,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4669,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-11-01,18829.79,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4665,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-11-18,34722.89,,Nonfederal IE-Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4643,,,ORG,Victory Text LLC,,,,,,190 Monroe Ave NW,Ste. 300,Grand Rapids,MI,49503,,,2024-10-04,5440.47,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4644,,,ORG,Victory Text LLC,,,,,,190 Monroe Ave NW,Ste. 300,Grand Rapids,MI,49503,,,2024-10-09,6655.81,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4645,,,ORG,Victory Text LLC,,,,,,190 Monroe Ave NW,Ste. 300,Grand Rapids,MI,49503,,,2024-10-22,4986.79,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4646,,,ORG,Victory Text LLC,,,,,,190 Monroe Ave NW,Ste. 300,Grand Rapids,MI,49503,,,2024-10-31,13052.41,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4647,,,ORG,Victory Text LLC,,,,,,190 Monroe Ave NW,Ste. 300,Grand Rapids,MI,49503,,,2024-11-05,1519.77,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
