form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00834077,SB.613,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,31.23,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.628,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,40.64,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.629,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,87.94,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.631,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,146.27,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.645,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,111.05,,OFFICE EQUIPMENT,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.652,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,71.49,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.661,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,1471.58,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.45,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 53779,,PHOENIX,AZ,85027,,,2024-01-02,48467.63,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834077,SB.499,,SB21B,ORG,ANTICO PIZZA,,,,,,2605 CIRCLE 75 PKWY,,ATLANTA,GA,30339,,,2024-01-02,143.88,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.527,,SB21B,ORG,AT&T,,,,,,2980 COBB PARKWAY,,ATLANTA,GA,30339,,,2024-01-02,90.00,,TELEPHONE SERVICE,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.560,,SB21B,ORG,AT&T,,,,,,2980 COBB PARKWAY,,ATLANTA,GA,30339,,,2024-01-02,90.00,,TELEPHONE SERVICE,,,,,,,,,,,,,  ,,,,,,X,SB.45
